store_number	phone	street_address	zip_code	city_name	city_state	city_population
202	3883855962	2802 21-street	71136	Baton Rouge	Louisiana	12500000
275	0944972807	7615 19-street	73305	Baton Rouge	Louisiana	12500000
289	6747900055	5881 17-street	75382	Baton Rouge	Louisiana	12500000
478	9768197330	2345 11-street	76162	Baton Rouge	Louisiana	12500000
173	8695827307	643 16-street	87975	Boise City	Idaho	1500000
222	7497398283	1881 20-street	87261	Boise City	Idaho	1500000
259	0413858118	1741 19-street	87209	Boise City	Idaho	1500000
328	0651775895	9801 20-street	82920	Boise City	Idaho	1500000
385	9574128220	4227 15-street	82530	Boise City	Idaho	1500000
387	5198213580	6438 4-street	88787	Boise City	Idaho	1500000
56	0938284639	9314 12-street	82765	Boise City	Idaho	1500000
74	1155993612	6999 20-street	83985	Boise City	Idaho	1500000
81	8733863779	4822 20-street	84284	Boise City	Idaho	1500000
101	5525698969	2990 1-street	03326	Boston	Massachusetts	12500000
29	0874973864	3649 18-street	07612	Boston	Massachusetts	12500000
299	0737348048	3030 10-street	04072	Boston	Massachusetts	12500000
331	4242538913	3896 9-street	08834	Boston	Massachusetts	12500000
409	7944703916	1014 10-street	06371	Boston	Massachusetts	12500000
418	7659311848	2009 9-street	08667	Boston	Massachusetts	12500000
60	8310708769	9172 10-street	07616	Boston	Massachusetts	12500000
13	5567353588	1057 6-street	19243	Buffalo	New York	2500000
170	2769749838	971 6-street	10786	Buffalo	New York	2500000
201	3429701303	2866 8-street	19824	Buffalo	New York	2500000
204	5498274563	6750 8-street	14019	Buffalo	New York	2500000
314	4267194862	6987 19-street	19575	Buffalo	New York	2500000
377	4833619148	5543 15-street	18877	Buffalo	New York	2500000
393	0411151630	2603 11-street	16652	Buffalo	New York	2500000
398	5246796494	5039 16-street	18317	Buffalo	New York	2500000
449	0129668476	7137 2-street	15636	Buffalo	New York	2500000
92	9841308786	8185 13-street	17590	Buffalo	New York	2500000
130	2975454090	3954 20-street	86079	Chandler	Arizona	5500000
236	4316909017	7810 16-street	81863	Chandler	Arizona	5500000
274	4566231321	6195 8-street	81375	Chandler	Arizona	5500000
286	0630414932	4649 8-street	89333	Chandler	Arizona	5500000
102	0385199695	8914 17-street	24279	Charlotte	North Carolina	7500000
154	5492621919	8700 11-street	26498	Charlotte	North Carolina	7500000
276	3492455522	1562 17-street	20681	Charlotte	North Carolina	7500000
313	4421753754	5599 11-street	20314	Charlotte	North Carolina	7500000
318	2727337390	6160 7-street	24668	Charlotte	North Carolina	7500000
49	3815036597	8048 19-street	20441	Charlotte	North Carolina	7500000
67	4179433284	3305 8-street	29069	Charlotte	North Carolina	7500000
8	0169860038	7288 13-street	25578	Charlotte	North Carolina	7500000
109	9207542402	5968 21-street	20167	Chesapeake	Virginia	3500000
128	3491989323	8759 20-street	24494	Chesapeake	Virginia	3500000
218	0292774663	1250 15-street	25061	Chesapeake	Virginia	3500000
230	3530563124	2861 15-street	23981	Chesapeake	Virginia	3500000
327	4444407213	5999 20-street	22753	Chesapeake	Virginia	3500000
382	5853146485	118 9-street	20106	Chesapeake	Virginia	3500000
384	1678796532	3812 20-street	24989	Chesapeake	Virginia	3500000
407	2782362906	2445 13-street	29254	Chesapeake	Virginia	3500000
461	3987212561	4449 21-street	21391	Chesapeake	Virginia	3500000
483	6332956464	6871 9-street	25105	Chesapeake	Virginia	3500000
57	3104520139	9273 21-street	23553	Chesapeake	Virginia	3500000
186	1791585888	630 3-street	68117	Chicago	Illinois	7500000
199	3238584415	7926 8-street	67804	Chicago	Illinois	7500000
24	4495272059	7765 2-street	67525	Chicago	Illinois	7500000
330	8561734261	4357 11-street	67508	Chicago	Illinois	7500000
358	0372447608	2601 2-street	67976	Chicago	Illinois	7500000
420	4423031453	6359 9-street	61441	Chicago	Illinois	7500000
443	0316206273	4905 20-street	69830	Chicago	Illinois	7500000
257	9100321555	6138 13-street	97105	Chula Vista	California	2500000
269	6275725173	3649 19-street	91350	Chula Vista	California	2500000
34	0886657751	6412 19-street	93060	Chula Vista	California	2500000
386	8954540767	1612 20-street	90487	Chula Vista	California	2500000
424	8590114397	6600 16-street	97521	Chula Vista	California	2500000
107	8638761364	5543 4-street	42933	Cincinnati	Ohio	5500000
183	0450902334	1194 13-street	42971	Cincinnati	Ohio	5500000
404	3467029514	2013 12-street	46362	Cincinnati	Ohio	5500000
176	7813107165	8677 6-street	45134	Cleveland	Ohio	6500000
23	9585705121	3552 7-street	43714	Cleveland	Ohio	6500000
30	6821155069	8232 18-street	44424	Cleveland	Ohio	6500000
429	9990754554	2589 19-street	43081	Cleveland	Ohio	6500000
437	1277839659	1236 9-street	40766	Cleveland	Ohio	6500000
303	3632948270	7207 1-street	88300	Colorado Springs	Colorado	2500000
325	0418810569	1728 18-street	87075	Colorado Springs	Colorado	2500000
62	7684763428	1623 9-street	85671	Colorado Springs	Colorado	2500000
121	1778197367	1466 14-street	46471	Columbus	Ohio	500000
258	5123719794	5009 13-street	48318	Columbus	Ohio	500000
369	3258866228	2850 9-street	42345	Columbus	Ohio	500000
467	4922327466	24 8-street	45901	Columbus	Ohio	500000
488	0647177345	4294 2-street	45377	Columbus	Ohio	500000
182	0538852074	3769 8-street	76620	Corpus Christi	Texas	5500000
185	0739478450	1472 18-street	71064	Corpus Christi	Texas	5500000
365	0739023974	3764 10-street	70397	Corpus Christi	Texas	5500000
38	3394274908	6511 13-street	78150	Corpus Christi	Texas	5500000
428	7280741745	295 9-street	73743	Corpus Christi	Texas	5500000
466	6472355282	4677 10-street	76347	Corpus Christi	Texas	5500000
122	2923990215	4080 15-street	71969	Dallas	Texas	6500000
187	5465643874	5437 3-street	70281	Dallas	Texas	6500000
215	9730847148	6943 6-street	74362	Dallas	Texas	6500000
245	2619465743	5628 11-street	72000	Dallas	Texas	6500000
355	0584642111	3824 7-street	77174	Dallas	Texas	6500000
50	4186243531	5365 19-street	74149	Dallas	Texas	6500000
80	0237059102	5771 4-street	76226	Dallas	Texas	6500000
266	7121423968	7432 3-street	82356	Denver	Colorado	7500000
292	9883325002	3560 21-street	87726	Denver	Colorado	7500000
444	7120098120	6554 14-street	86583	Denver	Colorado	7500000
453	0952704618	4384 11-street	84819	Denver	Colorado	7500000
137	4709255672	6461 11-street	45017	Detroit	Michigan	12500000
237	7470017515	6031 8-street	42414	Detroit	Michigan	12500000
430	1393794898	4006 14-street	44509	Detroit	Michigan	12500000
169	0394548959	1125 20-street	20611	Durham	North Carolina	11500000
171	4287863288	1780 15-street	29680	Durham	North Carolina	11500000
28	0704732557	7949 15-street	24186	Durham	North Carolina	11500000
342	5710851864	1127 11-street	20094	Durham	North Carolina	11500000
126	1668398374	7872 6-street	78163	El Paso	Texas	12500000
195	4400854994	2386 4-street	79229	El Paso	Texas	12500000
317	8853530494	6678 6-street	73016	El Paso	Texas	12500000
394	1280134500	2032 8-street	70008	El Paso	Texas	12500000
397	3117192921	2058 18-street	72520	El Paso	Texas	12500000
440	5258896716	7040 21-street	71551	El Paso	Texas	12500000
441	9487652311	8582 18-street	77590	El Paso	Texas	12500000
455	7100518696	2577 4-street	76662	El Paso	Texas	12500000
117	9508059143	8292 21-street	49833	Fort Wayne	Indiana	9500000
375	9376867914	9919 16-street	45638	Fort Wayne	Indiana	9500000
477	1506671979	6849 12-street	42420	Fort Wayne	Indiana	9500000
136	0437922639	8909 9-street	71028	Fort Worth	Texas	7500000
188	6261112682	6201 19-street	73064	Fort Worth	Texas	7500000
251	4300328188	4635 15-street	71890	Fort Worth	Texas	7500000
277	9111000978	2848 16-street	75156	Fort Worth	Texas	7500000
306	7973901526	9688 19-street	76234	Fort Worth	Texas	7500000
31	3320037707	877 18-street	71386	Fort Worth	Texas	7500000
329	1852168404	7797 17-street	71667	Fort Worth	Texas	7500000
402	8854730079	9728 17-street	74324	Fort Worth	Texas	7500000
168	0007625641	2174 2-street	95766	Fremont	California	500000
255	3674361032	1756 19-street	98983	Fremont	California	500000
288	6412817441	2627 7-street	95545	Fremont	California	500000
335	2293868679	7481 20-street	91613	Fremont	California	500000
376	9857815510	5535 7-street	99747	Fremont	California	500000
167	8601742618	6336 3-street	92412	Fresno	California	10500000
203	9332397600	5145 8-street	92569	Fresno	California	10500000
213	2388831392	709 8-street	95790	Fresno	California	10500000
220	0947966399	5488 21-street	78805	Garland	Texas	4500000
234	1287056671	7929 18-street	78245	Garland	Texas	4500000
334	6886572598	6914 12-street	70348	Garland	Texas	4500000
70	8223709985	3903 6-street	71983	Garland	Texas	4500000
15	8121260828	2396 7-street	88597	Gilbert	Arizona	5500000
235	9688061155	1503 11-street	89406	Gilbert	Arizona	5500000
244	1406465435	4443 8-street	85871	Gilbert	Arizona	5500000
400	4927307400	9532 2-street	84529	Gilbert	Arizona	5500000
473	3112088513	7005 5-street	88208	Gilbert	Arizona	5500000
256	4869448087	9869 5-street	84280	Glendale	Arizona	5500000
454	0718751026	2192 18-street	86228	Glendale	Arizona	5500000
73	3789058593	3238 12-street	84118	Glendale	Arizona	5500000
97	3665114209	2729 18-street	80357	Glendale	Arizona	5500000
145	9281626360	8668 3-street	24311	Greensboro	North Carolina	4500000
226	5704425807	2868 15-street	20050	Greensboro	North Carolina	4500000
249	1933582663	6545 14-street	22591	Greensboro	North Carolina	4500000
271	1243508046	1967 15-street	27947	Greensboro	North Carolina	4500000
460	8308288790	8872 14-street	29974	Greensboro	North Carolina	4500000
481	6448042537	2914 11-street	25492	Greensboro	North Carolina	4500000
198	9777415298	9970 7-street	80266	Henderson	Nevada	10500000
254	4187204778	5847 12-street	86245	Henderson	Nevada	10500000
298	1486756084	5678 18-street	81417	Henderson	Nevada	10500000
489	2511558320	1177 4-street	87321	Henderson	Nevada	10500000
89	2160793192	2033 14-street	85008	Henderson	Nevada	10500000
146	7252568025	5805 18-street	32682	Hialeah	Florida	8500000
221	1210531870	5868 8-street	31670	Hialeah	Florida	8500000
297	2241178910	6287 16-street	38024	Hialeah	Florida	8500000
406	5422057396	4595 15-street	39303	Hialeah	Florida	8500000
142	1532611282	5656 21-street	95079	Honolulu	Hawaii	2500000
287	4994812531	5120 14-street	99647	Honolulu	Hawaii	2500000
343	4404122402	6673 8-street	95645	Honolulu	Hawaii	2500000
363	4379497706	7981 8-street	94491	Honolulu	Hawaii	2500000
264	2318084599	9333 7-street	72689	Houston	Texas	5500000
357	8144494243	3749 3-street	72974	Houston	Texas	5500000
395	6256018843	2944 8-street	78444	Houston	Texas	5500000
421	0594380831	3662 10-street	79815	Houston	Texas	5500000
484	8737516953	8237 9-street	70206	Houston	Texas	5500000
71	5115039085	4069 20-street	75621	Houston	Texas	5500000
2	1309151564	6584 11-street	43747	Indianapolis	Indiana	1500000
379	2595361810	7264 8-street	49209	Indianapolis	Indiana	1500000
399	1288565013	2196 4-street	49878	Indianapolis	Indiana	1500000
42	7106696605	8104 1-street	44808	Indianapolis	Indiana	1500000
44	7796502680	1385 18-street	49464	Indianapolis	Indiana	1500000
446	5659527858	4949 15-street	41997	Indianapolis	Indiana	1500000
51	1434828708	3779 7-street	43991	Indianapolis	Indiana	1500000
108	8106343598	2874 13-street	95256	Irvine	California	3500000
337	0929845176	7479 14-street	95290	Irvine	California	3500000
414	0530924639	3697 9-street	93215	Irvine	California	3500000
87	0016286365	7923 16-street	92151	Irvine	California	3500000
180	1155905821	9951 9-street	79878	Irving	Texas	500000
219	3359943238	54 17-street	70824	Irving	Texas	500000
243	0123524850	6707 9-street	71126	Irving	Texas	500000
312	3265129309	9632 12-street	70164	Irving	Texas	500000
494	0581204888	2318 7-street	72524	Irving	Texas	500000
500	8239283091	3944 2-street	72799	Irving	Texas	500000
9	8438077858	5519 2-street	71053	Irving	Texas	500000
233	9328657744	7856 2-street	32663	Jacksonville	Florida	2500000
296	3521011293	9169 5-street	32559	Jacksonville	Florida	2500000
462	5232643931	8771 20-street	31944	Jacksonville	Florida	2500000
14	1288787276	4235 4-street	06636	Jersey City	New Jersey	500000
177	3226731744	6212 17-street	08269	Jersey City	New Jersey	500000
279	9848219992	7637 19-street	08828	Jersey City	New Jersey	500000
280	0006228980	5072 6-street	02488	Jersey City	New Jersey	500000
322	0877670979	391 5-street	02283	Jersey City	New Jersey	500000
361	9310301466	8696 20-street	00665	Jersey City	New Jersey	500000
432	0033685272	2213 14-street	03463	Jersey City	New Jersey	500000
497	5133726643	3924 18-street	08574	Jersey City	New Jersey	500000
91	1423162545	1072 3-street	06063	Jersey City	New Jersey	500000
194	4657869377	1822 9-street	60784	Kansas City	Missouri	12500000
336	0771538345	6783 3-street	69017	Kansas City	Missouri	12500000
405	2252663302	5197 6-street	62465	Kansas City	Missouri	12500000
415	7384454744	5616 3-street	62363	Kansas City	Missouri	12500000
12	4703969580	8010 6-street	72997	Laredo	Texas	4500000
159	1780057396	2271 7-street	76375	Laredo	Texas	4500000
190	0914835110	7454 3-street	79034	Laredo	Texas	4500000
324	0841909243	8602 14-street	72135	Laredo	Texas	4500000
372	7989079381	7125 4-street	72107	Laredo	Texas	4500000
82	7774172725	9254 3-street	74443	Laredo	Texas	4500000
191	5463351025	9629 7-street	81875	Las Vegas	Nevada	9500000
246	3335151189	4805 21-street	87927	Las Vegas	Nevada	9500000
348	8422009163	5809 20-street	88366	Las Vegas	Nevada	9500000
495	8760332941	601 13-street	80114	Las Vegas	Nevada	9500000
149	9121318477	6709 9-street	41976	Lexington-Fayette	Kentucky	4500000
283	4424298214	9217 21-street	40521	Lexington-Fayette	Kentucky	4500000
389	9715832152	5351 13-street	49069	Lexington-Fayette	Kentucky	4500000
3	8892638294	9236 21-street	61496	Lincoln	Nebraska	4500000
320	4948386313	9220 13-street	62823	Lincoln	Nebraska	4500000
451	4646560697	7713 11-street	64197	Lincoln	Nebraska	4500000
471	0814490981	658 2-street	69755	Lincoln	Nebraska	4500000
76	0145903246	6791 16-street	63400	Lincoln	Nebraska	4500000
93	0843680306	3692 10-street	68943	Lincoln	Nebraska	4500000
134	9140924079	6020 21-street	98733	Long Beach	California	11500000
307	9229320196	5980 5-street	95821	Long Beach	California	11500000
391	1720100340	1529 7-street	98529	Long Beach	California	11500000
476	2944683753	8956 16-street	93903	Long Beach	California	11500000
84	0340343074	2037 13-street	90261	Long Beach	California	11500000
10	0255230782	4493 17-street	98513	Los Angeles	California	9500000
301	5534351281	2700 3-street	93529	Los Angeles	California	9500000
144	1446333165	1009 14-street	49649	Louisville/Jefferson County	Kentucky	10500000
209	6746249741	4645 12-street	47998	Louisville/Jefferson County	Kentucky	10500000
22	0997103554	156 6-street	47539	Louisville/Jefferson County	Kentucky	10500000
267	4760422501	7867 3-street	41132	Louisville/Jefferson County	Kentucky	10500000
452	3292040808	9913 13-street	43479	Louisville/Jefferson County	Kentucky	10500000
96	8248574840	613 16-street	43444	Louisville/Jefferson County	Kentucky	10500000
114	7470320352	6637 16-street	77517	Lubbock	Texas	2500000
16	1755929660	6787 12-street	73877	Lubbock	Texas	2500000
178	5584842771	5120 19-street	77174	Lubbock	Texas	2500000
179	0759476489	6576 21-street	72781	Lubbock	Texas	2500000
293	9200417069	3242 1-street	73874	Lubbock	Texas	2500000
396	9639262971	5115 6-street	73715	Lubbock	Texas	2500000
427	9459360342	5864 4-street	73833	Lubbock	Texas	2500000
482	9519528783	8737 19-street	77565	Lubbock	Texas	2500000
129	1597123856	3905 4-street	54407	Madison	Wisconsin	12500000
160	5116185493	2843 12-street	50648	Madison	Wisconsin	12500000
206	0722435504	8652 7-street	54562	Madison	Wisconsin	12500000
315	7654055507	3371 11-street	51271	Madison	Wisconsin	12500000
374	1664563103	8034 17-street	54087	Madison	Wisconsin	12500000
383	9531545089	2327 13-street	52294	Madison	Wisconsin	12500000
472	0407589990	7014 20-street	50882	Madison	Wisconsin	12500000
63	2685774341	958 19-street	51557	Madison	Wisconsin	12500000
69	6381299257	6076 15-street	54368	Madison	Wisconsin	12500000
99	0563701559	304 13-street	59828	Madison	Wisconsin	12500000
161	2936380829	1689 10-street	35525	Memphis	Tennessee	5500000
242	8618805528	2604 7-street	36439	Memphis	Tennessee	5500000
371	5815893098	9254 3-street	35103	Memphis	Tennessee	5500000
132	7891669306	401 13-street	81493	Mesa	Arizona	11500000
163	2783086031	9059 15-street	85399	Mesa	Arizona	11500000
55	5367435877	4042 4-street	80514	Mesa	Arizona	11500000
83	0606228571	3268 21-street	89464	Mesa	Arizona	11500000
147	6394790573	3424 10-street	31072	Miami	Florida	6500000
197	9900593966	7250 3-street	38462	Miami	Florida	6500000
231	2281432089	360 16-street	38931	Miami	Florida	6500000
153	3377988789	5028 21-street	51511	Milwaukee	Wisconsin	5500000
210	0376122981	636 13-street	51789	Milwaukee	Wisconsin	5500000
32	2662144872	3781 18-street	56081	Milwaukee	Wisconsin	5500000
370	1831850471	4183 20-street	51882	Milwaukee	Wisconsin	5500000
434	9609779768	2342 14-street	54546	Milwaukee	Wisconsin	5500000
166	1966188057	2061 13-street	59569	Minneapolis	Minnesota	12500000
260	4837230382	9920 3-street	59256	Minneapolis	Minnesota	12500000
281	1828697318	329 10-street	55977	Minneapolis	Minnesota	12500000
290	9194739625	883 3-street	59665	Minneapolis	Minnesota	12500000
436	8606255551	8392 2-street	58843	Minneapolis	Minnesota	12500000
457	8966720298	2095 6-street	52916	Minneapolis	Minnesota	12500000
11	6324375919	3106 19-street	35473	Nashville-Davidson	Tennessee	4500000
118	3218640999	4778 3-street	33999	Nashville-Davidson	Tennessee	4500000
152	6529875397	9042 8-street	30585	Nashville-Davidson	Tennessee	4500000
223	0161809055	5915 17-street	34764	Nashville-Davidson	Tennessee	4500000
225	7571124673	9273 2-street	37889	Nashville-Davidson	Tennessee	4500000
4	0910585190	492 12-street	35966	Nashville-Davidson	Tennessee	4500000
403	6751619280	210 6-street	31298	Nashville-Davidson	Tennessee	4500000
423	2133564451	816 18-street	37490	Nashville-Davidson	Tennessee	4500000
120	8750418719	5599 1-street	77148	New Orleans	Louisiana	12500000
323	6156532396	4731 13-street	70561	New Orleans	Louisiana	12500000
47	5499504953	8548 20-street	70280	New Orleans	Louisiana	12500000
487	5531818579	5352 15-street	76595	New Orleans	Louisiana	12500000
156	3178115104	7342 21-street	12361	New York	New York	8500000
207	9824601835	7779 7-street	14393	New York	New York	8500000
316	2520984142	2320 17-street	11485	New York	New York	8500000
367	4978887176	5746 15-street	10687	New York	New York	8500000
112	9842798101	8012 18-street	08113	Newark	New Jersey	3500000
172	4741609446	5922 12-street	02852	Newark	New Jersey	3500000
139	9234246887	4560 14-street	20976	Norfolk	Virginia	9500000
150	4697061839	3584 14-street	27104	Norfolk	Virginia	9500000
282	1739167152	7630 4-street	22515	Norfolk	Virginia	9500000
115	7832472573	2642 15-street	83931	North Las Vegas	Nevada	5500000
141	3279098978	7897 6-street	81109	North Las Vegas	Nevada	5500000
273	5550163129	958 17-street	88178	North Las Vegas	Nevada	5500000
338	0737228600	4415 21-street	87531	North Las Vegas	Nevada	5500000
59	3754723494	705 12-street	80644	North Las Vegas	Nevada	5500000
381	4170304281	2579 11-street	91865	Oakland	California	7500000
65	0944686056	8376 8-street	90153	Oakland	California	7500000
184	2615046028	9706 8-street	72018	Oklahoma City	Oklahoma	9500000
208	7880419016	2206 18-street	74543	Oklahoma City	Oklahoma	9500000
250	2103344675	8600 19-street	74943	Oklahoma City	Oklahoma	9500000
263	0906730212	3979 7-street	60014	Omaha	Nebraska	12500000
326	4727471566	1655 20-street	61624	Omaha	Nebraska	12500000
366	3874971729	4200 14-street	66054	Omaha	Nebraska	12500000
422	0806511640	2887 20-street	67249	Omaha	Nebraska	12500000
111	0007003046	2479 21-street	34034	Orlando	Florida	2500000
416	0398023941	5238 11-street	39701	Orlando	Florida	2500000
426	6645527850	5623 17-street	36899	Orlando	Florida	2500000
46	0444508802	8681 21-street	38250	Orlando	Florida	2500000
162	8893573422	8833 14-street	11341	Philadelphia	Pennsylvania	2500000
196	2553055149	9755 7-street	17241	Philadelphia	Pennsylvania	2500000
252	1499809210	9240 11-street	16288	Philadelphia	Pennsylvania	2500000
359	0268880719	4027 8-street	13367	Philadelphia	Pennsylvania	2500000
445	2424658842	8771 3-street	12395	Philadelphia	Pennsylvania	2500000
54	2902017345	4975 19-street	13273	Philadelphia	Pennsylvania	2500000
7	5604184387	8692 7-street	18767	Philadelphia	Pennsylvania	2500000
94	8282309020	7917 2-street	12091	Philadelphia	Pennsylvania	2500000
411	8619040658	9512 6-street	84330	Phoenix	Arizona	8500000
456	1220191104	3644 2-street	81649	Phoenix	Arizona	8500000
464	1939281325	8129 20-street	80375	Phoenix	Arizona	8500000
90	7661335202	2247 14-street	82507	Phoenix	Arizona	8500000
340	0891127646	2848 20-street	12292	Pittsburgh	Pennsylvania	9500000
341	1370315812	5477 16-street	18769	Pittsburgh	Pennsylvania	9500000
103	0438679926	3774 12-street	73356	Plano	Texas	12500000
116	2453953709	6487 1-street	75979	Plano	Texas	12500000
217	1332010734	5367 14-street	73309	Plano	Texas	12500000
285	6638293599	6195 18-street	72201	Plano	Texas	12500000
442	8422725343	5561 17-street	76697	Plano	Texas	12500000
499	8513165751	5122 11-street	71102	Plano	Texas	12500000
72	7630007191	4648 3-street	76641	Plano	Texas	12500000
100	7234698678	5185 11-street	91057	Portland	Oregon	9500000
155	3224209508	8566 21-street	95759	Portland	Oregon	9500000
261	5227075200	3348 6-street	95901	Portland	Oregon	9500000
333	6729522334	6810 7-street	90523	Portland	Oregon	9500000
345	3217390095	468 10-street	94663	Portland	Oregon	9500000
425	4257105328	9608 19-street	92567	Portland	Oregon	9500000
193	3929599150	5073 18-street	21521	Raleigh	North Carolina	500000
378	8531520586	5651 3-street	28227	Raleigh	North Carolina	500000
392	3112866993	1439 2-street	26302	Raleigh	North Carolina	500000
224	0215523774	6330 8-street	80214	Reno	Nevada	500000
240	1589291585	4800 5-street	89258	Reno	Nevada	500000
247	9476042991	3901 11-street	84454	Reno	Nevada	500000
304	6329002277	2725 11-street	89417	Reno	Nevada	500000
310	1447905716	3550 9-street	80184	Reno	Nevada	500000
469	7328702994	8569 20-street	89983	Reno	Nevada	500000
492	0489448391	9728 4-street	84715	Reno	Nevada	500000
253	3794420240	1442 4-street	29251	Richmond	Virginia	1500000
133	2562623942	4597 1-street	94643	Riverside	California	11500000
364	0608157212	2286 16-street	94520	Riverside	California	11500000
485	1969518996	2583 10-street	98809	Riverside	California	11500000
6	2759386551	5258 5-street	97481	Riverside	California	11500000
66	9851641167	2411 6-street	96069	Riverside	California	11500000
1	2918328268	1429 18-street	99787	Sacramento	California	6500000
19	0986915899	8259 15-street	90185	Sacramento	California	6500000
229	3566703593	1971 21-street	98841	Sacramento	California	6500000
268	7106666728	2777 2-street	90122	Sacramento	California	6500000
36	9388540320	5593 2-street	98482	Sacramento	California	6500000
45	5893841477	3773 5-street	91480	Sacramento	California	6500000
75	2567750789	9920 13-street	99980	Sacramento	California	6500000
138	3763494764	6350 14-street	74520	San Antonio	Texas	11500000
189	9933927318	4133 8-street	74464	San Antonio	Texas	11500000
311	4449067526	6395 15-street	77411	San Antonio	Texas	11500000
435	4595703648	4198 5-street	76661	San Antonio	Texas	11500000
295	7820694825	1891 14-street	91234	San Bernardino	California	5500000
305	1865892914	5913 5-street	98251	San Bernardino	California	5500000
37	2887768345	7448 8-street	90906	San Bernardino	California	5500000
39	4202512601	8597 16-street	98455	San Bernardino	California	5500000
41	7414137921	4849 19-street	99468	San Bernardino	California	5500000
43	0359324453	4839 13-street	90630	San Bernardino	California	5500000
439	3189451649	6299 14-street	91791	San Bernardino	California	5500000
125	3450880051	2928 13-street	99970	San Diego	California	4500000
346	0840276237	5742 13-street	98952	San Diego	California	4500000
388	0190761848	212 3-street	92951	San Diego	California	4500000
448	2752278159	607 11-street	99026	San Diego	California	4500000
496	7400252782	546 3-street	97285	San Diego	California	4500000
68	3962685811	6815 15-street	90514	San Diego	California	4500000
95	8491868685	9270 2-street	90618	San Diego	California	4500000
17	3249678459	1651 18-street	95667	San Francisco	California	7500000
228	1286587688	9809 4-street	91937	San Francisco	California	7500000
278	2661376604	7280 17-street	99386	San Francisco	California	7500000
309	9440012518	4209 4-street	96075	San Francisco	California	7500000
380	9602259862	5642 14-street	91594	San Francisco	California	7500000
474	7593367448	9675 17-street	90616	San Francisco	California	7500000
79	9647328401	613 7-street	95906	San Francisco	California	7500000
356	0527138225	898 8-street	97735	San Jose	California	11500000
64	9762283154	9343 11-street	90554	San Jose	California	11500000
86	6472093100	6951 5-street	94679	San Jose	California	11500000
294	1621967685	9067 14-street	95148	Santa Ana	California	8500000
52	4613482890	801 20-street	99856	Santa Ana	California	8500000
119	1518803511	7045 18-street	89431	Scottsdale	Arizona	5500000
200	7275813703	1610 10-street	84349	Scottsdale	Arizona	5500000
463	9586272305	5939 6-street	88829	Scottsdale	Arizona	5500000
78	8617259782	8825 8-street	82141	Scottsdale	Arizona	5500000
362	5612202972	7597 11-street	94080	Seattle	Washington	4500000
401	5208529880	1274 19-street	90010	Seattle	Washington	4500000
